arquivo;estados;animacoes;quadros;icone;folha;overflow
Techniques\Beam - Static Beam.dmi;6;21;61;32x32;256x256;
Techniques\Beam Laser.dmi;3;12;12;32x32;128x96;
Techniques\Beam5.dmi;5;20;40;32x32;224x192;
Techniques\BeamBlast Dragon.dmi;6;23;52;32x32;256x224;
Techniques\Beam_DragonFist.dmi;5;20;28;64x64;384x320;
Techniques\Big Bang Attack.dmi;6;36;44;96x96;672x672;
Techniques\BlackDragonBeam.dmi;4;16;28;32x32;192x160;
Techniques\Blade Rush.dmi;1;4;12;32x32;128x96;
Techniques\Blast - Super DD.dmi;1;1;2;60x60;120x60;
Techniques\Brutal Cleaver.dmi;1;1;4;32x32;64x64;
Techniques\CircleWind.dmi;4;4;78;96x96;864x864;
Techniques\Compass Rose.dmi;1;1;3;96x96;192x192;
Techniques\Dark Lance.dmi;1;8;32;32x32;192x192;
Techniques\deathball.dmi;1;1;3;93x93;186x186;
Techniques\Dodompa.dmi;5;20;24;32x32;160x160;
Techniques\Dragonbeam.dmi;5;20;120;32x32;352x352;
Techniques\Electro Shield.dmi;1;1;4;128x128;256x256;
Techniques\Enkumei.dmi;5;20;32;32x32;192x192;
Techniques\Eye Beam 1.dmi;5;20;40;32x32;224x192;
Techniques\Final Flash.dmi;5;20;40;32x32;224x192;
Techniques\Final Flash2.dmi;5;20;32;70x70;420x420;
Techniques\galacticgun.dmi;5;20;56;32x32;256x224;
Techniques\Gigantic Meteor 1.dmi;5;24;40;96x96;672x576;
Techniques\Gigantic Meteor 2.dmi;5;24;32;96x96;576x576;
Techniques\Gigantic Meteor 3.dmi;5;24;24;96x96;480x480;
Techniques\HakaiBall.dmi;1;1;96;48x48;480x480;
Techniques\Heart Blast.dmi;1;1;7;64x64;192x192;
Techniques\Javelin Throw.dmi;1;4;8;32x32;96x96;
Techniques\Kamehameha1.dmi;5;20;40;32x32;224x192;
Techniques\Kamehameha2.dmi;5;20;24;32x32;160x160;
Techniques\Kamehameha3.dmi;5;20;32;32x32;192x192;
Techniques\Kamehameha4.dmi;5;20;20;32x32;160x128;
Techniques\Kamehameha5.dmi;5;20;60;32x32;256x256;
Techniques\Kamehameha6.dmi;5;20;56;32x32;256x224;
Techniques\Kienzan.dmi;1;1;3;32x32;64x64;
Techniques\KiHead.dmi;11;44;60;32x32;256x256;
Techniques\Kikoho.dmi;1;4;8;32x32;96x96;
Techniques\Laser Cannon Beam.dmi;3;12;12;32x32;128x96;
Techniques\Makankosappo2-OC.dmi;5;40;48;32x32;224x224;
Techniques\Makankosappo2.dmi;5;40;48;32x32;224x224;
Techniques\Makankosappo3-OC.dmi;5;40;64;32x32;256x256;
Techniques\Makkankosappo.dmi;5;20;48;32x32;224x224;
Techniques\Makkankosappo3.dmi;5;20;32;32x32;192x192;
Techniques\Makkankosappo4.dmi;5;20;24;32x32;160x160;
Techniques\MegaBurst.dmi;12;45;53;32x32;256x224;
Techniques\Mutant Aaya.dmi;5;20;20;32x32;160x128;
Techniques\namekarm.dmi;5;20;36;32x32;192x192;
Techniques\Omega Blaster (Zee).dmi;5;5;11;128x128;512x384;
Techniques\Reaver.dmi;1;4;12;32x32;128x96;
Techniques\Royal Death Crusher.dmi;1;4;28;100x100;600x500;
Techniques\SBC.dmi;3;12;36;32x32;192x192;
Techniques\SBomb.dmi;2;2;9;32x32;96x96;
Techniques\Shield Blue.dmi;1;1;5;32x32;96x64;
Techniques\Shield, Legendary.dmi;1;1;5;32x32;96x64;
Techniques\Sphere of Destruction.dmi;2;5;24;64x64;320x320;
Techniques\SSJ3BEAMS.dmi;1;8;32;32x32;192x192;
Techniques\Stardust Breaker.dmi;1;1;12;64x64;256x192;
Techniques\Terror Beam.dmi;4;32;80;32x32;288x288;
Techniques\Terror Blast.dmi;1;4;8;32x32;96x96;
Techniques\Third Eye.dmi;8;14;29;32x32;192x160;
Techniques\TimeFreeze.dmi;1;1;4;32x32;128x32;
Techniques\Whirling Blades.dmi;1;1;3;32x32;64x64;
Techniques\Zanzoken.dmi;1;1;3;32x32;64x64;
Techniques\Zento BBKHH 1.dmi;5;20;60;32x32;256x256;
Techniques\Zento BBKHH 2.dmi;5;20;60;32x32;256x256;
Trees\beetroot.dmi;4;4;4;32x32;64x64;
Trees\bigrocktest.dmi;1;1;1;156x171;156x171;
Trees\carrot.dmi;4;4;4;32x32;64x64;
Trees\DecTrees.dmi;3;3;3;61x93;183x93;
Trees\jungleplant32x32.dmi;1;1;1;32x32;32x32;
Trees\jungleplant45x45.dmi;1;1;1;45x45;45x45;
Trees\jungleplant64x64.dmi;1;1;1;64x64;64x64;
Trees\jungletree4.dmi;1;1;1;196x168;196x168;
Trees\MightTree.dmi;3;3;3;94x94;188x188;
Trees\Mushroom12013.dmi;1;1;1;34x57;34x57;
Trees\Namek Tree.dmi;1;1;1;32x64;32x64;
Trees\NamekTrees.dmi;2;2;2;64x170;128x170;
Trees\NamekTrees2.dmi;2;2;2;96x202;192x202;
Trees\Oak.dmi;3;3;3;125x145;250x290;
Trees\Palm.dmi;4;4;4;180x180;360x360;
Trees\Pine.dmi;2;2;2;91x136;182x136;
Trees\Plants1.21.2011.dmi;16;16;17;32x32;160x128;
Trees\potatos.dmi;4;4;4;32x32;64x64;
Trees\RedTree.dmi;1;1;1;64x64;64x64;
Trees\Small Tree.dmi;1;1;1;32x64;32x64;
Trees\Tree (2).dmi;4;4;4;32x32;128x32;
Trees\Tree Good.dmi;6;6;6;64x96;192x192;
Trees\Tree Red.dmi;6;6;6;64x96;192x192;
Trees\Tree Snow.dmi;6;6;6;64x96;192x192;
Trees\Tree Teal.dmi;1;1;1;64x96;64x96;
Trees\tree1.dmi;2;2;2;96x96;192x96;
Trees\Tree12013.dmi;1;1;1;94x94;94x94;
Trees\tree3.dmi;1;1;1;32x32;32x32;
Trees\treee.dmi;2;2;2;32x32;64x32;
Trees\TreeOak2017.dmi;1;1;1;158x178;158x178;
Trees\Trees (2).dmi;4;4;4;32x32;128x32;
Trees\trees (3).dmi;30;30;30;32x32;192x160;
Trees\Trees Namek.dmi;3;3;3;64x96;192x96;
Trees\Trees.dmi;2;2;2;32x32;64x32;
Trees\trees1.dmi;21;21;21;32x32;160x160;
Trees\Trees2(1).dmi;8;8;8;64x128;256x256;
Trees\Trees2.dmi;8;8;8;64x128;256x256;
Trees\TreeYemma.dmi;4;4;4;158x178;316x356;
Trees\wheat.dmi;8;8;8;32x32;96x96;
Turfs\!!!  house furniture.dmi;72;72;76;32x32;288x288;
Turfs\1aBUILDTURFTEMP.dmi;1;1;1;32x32;32x32;
Turfs\arena.dmi;26;26;26;32x32;192x160;
Turfs\brick22.dmi;1;1;1;32x32;32x32;
Turfs\building.dmi;19;19;19;32x32;160x128;
Turfs\castle_floor.dmi;18;18;18;32x32;160x128;
Turfs\castle_wall.dmi;69;69;69;32x32;288x256;
Turfs\CaveEntrances.dmi;13;13;13;32x32;128x128;
Turfs\CaveLight.dmi;1;1;1;32x32;32x32;
Turfs\Cliff.dmi;3;3;3;32x32;64x64;
Turfs\Crimson Cloud32x32.dmi;1;1;4;32x32;64x64;
Turfs\dimensiontile.dmi;5;5;5;32x32;96x64;
Turfs\dimensiontile2.dmi;65;65;65;32x32;288x256;
Turfs\dimensiontile3.dmi;65;65;65;32x32;288x256;
Turfs\dimensiontile4.dmi;65;65;65;32x32;288x256;
Turfs\dimensiontiletest.dmi;3;3;3;256x256;512x512;
Turfs\Dirt.dmi;55;55;55;32x32;256x224;
Turfs\dungeon_entrances.dmi;12;12;12;40x40;160x120;
Turfs\Edges.dmi;10;28;28;32x32;192x160;
Turfs\Edges1.dmi;4;4;4;32x32;64x64;
Turfs\Edges2.dmi;4;4;4;32x32;64x64;
Turfs\Edges3.dmi;4;4;4;32x32;64x64;
Turfs\Edges4.dmi;5;5;5;32x32;96x64;
Turfs\Edges5.dmi;4;4;4;32x32;64x64;
Turfs\Edges6.dmi;4;4;4;32x32;64x64;
Turfs\Edges7.dmi;4;4;4;32x32;64x64;
Turfs\EdgesBridge.dmi;4;4;4;32x32;64x64;
Turfs\entrance2hbtc.dmi;48;48;48;32x32;224x224;
Turfs\Fireplace.dmi;1;1;4;64x64;128x128;
Turfs\flash floor.dmi;1;1;10;32x32;128x96;
Turfs\floor3.dmi;1;1;1;32x32;32x32;
Turfs\FloorsLAWL.dmi;24;24;55;32x32;256x224;
Turfs\Force Wall.dmi;1;1;1;32x32;32x32;
Turfs\ForceWall.dmi;1;1;1;32x32;32x32;
Turfs\furnature.dmi;77;77;77;32x32;288x288;
Turfs\Gothic Tileset.dmi;24;24;24;40x40;200x200;
Turfs\Grass.dmi;54;54;54;32x32;256x224;
Turfs\Gravity Field.dmi;1;1;1;32x32;32x32;
Turfs\GravityField.dmi;1;1;1;32x32;32x32;
Turfs\Ground.dmi;48;48;48;32x32;224x224;
Turfs\Hell gate.dmi;1;1;1;227x250;227x250;
Turfs\Hell Statue.dmi;2;2;2;98x164;196x164;
Turfs\Hell turf.dmi;8;8;41;32x32;224x192;
Turfs\Hellturf.dmi;8;8;41;32x32;224x192;
Turfs\Houses Zen.dmi;19;19;19;32x32;160x128;
Turfs\house_sets.dmi;62;62;64;32x32;256x256;
Turfs\JEFcliff.dmi;5;5;5;32x32;96x64;
Turfs\JEFgreengrass.dmi;10;10;10;32x32;128x96;
Turfs\junglegrasstile.dmi;1;1;1;32x32;32x32;
Turfs\Landscapes.dmi;59;68;115;32x32;352x352;
Turfs\lookkout.dmi;61;61;61;32x32;256x256;
Turfs\metaltiles1.dmi;10;10;10;32x32;128x96;
Turfs\Midgar Tiles.dmi;42;42;57;32x32;256x256;
Turfs\mirror.dmi;1;1;8;32x32;96x96;
Turfs\Namek Tree.dmi;1;1;1;32x64;32x64;
Turfs\Namek.dmi;16;16;45;32x32;224x224;
Turfs\Natural.dmi;35;35;35;32x32;192x192;
Turfs\New Island Edge.dmi;26;26;57;32x32;256x256;
Turfs\NewTurf.dmi;89;89;100;32x32;320x320;
Turfs\Pond Blood.dmi;1;1;2;145x112;290x112;
Turfs\purf.dmi;3;3;3;32x32;64x64;
Turfs\purpleblock.dmi;1;1;1;32x32;32x32;
Turfs\Road2.dmi;5;5;5;32x32;96x64;
Turfs\Roofs.dmi;37;37;87;32x32;320x288;
Turfs\roomobj.dmi;8;8;8;32x32;96x96;
Turfs\Sidewalk.dmi;7;7;7;32x32;96x96;
Turfs\Snake Way.dmi;12;12;49;32x32;224x224;
Turfs\Soul Society Floor.dmi;1;1;1;32x32;32x32;
Turfs\Space.dmi;23;23;34;32x32;192x192;
Turfs\spacebck.dmi;65;65;559;32x32;768x768;
Turfs\specialturfsgochek.dmi;14;14;14;32x32;128x128;
Turfs\stadium.dmi;10;10;10;32x32;128x96;
Turfs\stairs.dmi;13;13;13;32x32;128x128;
Turfs\Surf1.dmi;2;2;14;32x32;448x32;
Turfs\Surf2.dmi;2;2;8;32x32;256x32;
Turfs\Surf3.dmi;2;2;29;32x32;928x32;
Turfs\Surf4.dmi;2;2;8;32x32;256x32;
Turfs\Surf5.dmi;2;2;10;32x32;320x32;
Turfs\Surf6.dmi;2;2;14;32x32;448x32;
Turfs\tanblock.dmi;1;1;1;32x32;32x32;
Turfs\Thrones.dmi;14;14;41;32x64;288x320;
Turfs\Tiles 1.21.2011.dmi;81;81;93;32x32;320x320;
Turfs\Tiles.dmi;67;67;67;32x32;288x256;
Turfs\TMRK.dmi;102;102;102;32x32;352x320;
Turfs\tournamentturf22.dmi;21;21;21;32x32;160x160;
Turfs\townhouse.dmi;22;22;22;32x32;160x160;
Turfs\Turf 50.dmi;94;94;135;32x32;384x384;
Turfs\Turf 52.dmi;55;55;57;32x32;256x256;
Turfs\Turf 55.dmi;33;33;59;32x32;256x256;
Turfs\Turf 57.dmi;177;177;189;32x32;448x448;
Turfs\Turf 58.dmi;21;21;41;32x32;224x192;
Turfs\Turf dbz 32 x 32 2.dmi;120;120;120;32x32;352x352;
Turfs\Turf dbz 32 x 32.dmi;120;120;120;32x32;352x352;
Turfs\Turf Snow.dmi;10;10;10;32x32;128x96;
Turfs\Turf1.dmi;43;43;44;32x32;224x224;
Turfs\Turf2.dmi;204;211;213;32x32;480x480;
Turfs\Turf3.dmi;180;180;180;32x32;448x416;
Turfs\turf5.dmi;3;3;3;32x32;64x64;
Turfs\Turf58.dmi;21;21;41;32x32;224x192;
Turfs\Turfs 1.dmi;57;57;244;32x32;512x512;
Turfs\Turfs 10.dmi;2;2;2;32x32;64x32;
Turfs\Turfs 11.dmi;4;4;22;32x32;160x160;
Turfs\Turfs 12.dmi;77;83;137;32x32;384x384;
Turfs\Turfs 13.dmi;1;1;2;32x32;64x32;
Turfs\Turfs 14.dmi;13;13;39;32x32;224x192;
Turfs\Turfs 15.dmi;6;6;6;32x32;96x64;
Turfs\Turfs 16.dmi;9;9;13;32x32;128x128;
Turfs\Turfs 17.dmi;3;3;3;32x32;64x64;
Turfs\Turfs 18.dmi;3;3;3;32x32;64x64;
Turfs\Turfs 19.dmi;1;1;1;32x32;32x32;
Turfs\Turfs 2.dmi;67;67;89;32x32;320x288;
Turfs\Turfs 3.dmi;19;19;71;32x32;288x256;
Turfs\Turfs 4.dmi;17;17;48;32x32;224x224;
Turfs\Turfs 5.dmi;108;148;310;32x32;576x576;
Turfs\Turfs 6.dmi;6;6;12;32x32;128x96;
Turfs\Turfs 7.dmi;16;16;24;32x32;160x160;
Turfs\Turfs 8.dmi;2;2;2;32x32;64x32;
Turfs\Turfs 9.dmi;5;20;52;32x32;256x224;
Turfs\Turfs 96.dmi;89;89;100;32x32;320x320;
Turfs\turfs sand.dmi;157;157;190;32x32;448x448;
Turfs\Turfs Temple.dmi;23;23;27;32x32;192x160;
Turfs\turfs.dmi;232;232;248;32x32;512x512;
Turfs\Turfs1.dmi;41;41;41;32x32;224x192;
Turfs\Turfs18.dmi;3;3;3;32x32;64x64;
Turfs\turfs2.dmi;91;91;101;32x32;352x320;
Turfs\turfs5.dmi;294;297;522;32x32;736x736;
Turfs\turfs66.dmi;168;168;208;32x32;480x448;
Turfs\TurfsZ.dmi;349;349;350;32x32;608x608;
Turfs\TV1.dmi;20;20;27;32x32;192x160;
Turfs\vegetaturf2016.dmi;1;1;1;32x32;32x32;
Turfs\Walls.dmi;64;64;114;32x32;352x352;
Turfs\WallsLAWL.dmi;3;3;3;32x32;64x64;
Turfs\wasteland ground.dmi;1;1;1;32x32;32x32;
Turfs\wastelandground.dmi;1;1;1;32x32;32x32;
Turfs\water.dmi;1;1;8;32x32;96x96;
Turfs\waterfall.dmi;6;6;23;32x32;736x32;
Turfs\waterfallgreen.dmi;6;6;23;32x32;160x160;
Turfs\WaterOverlay.dmi;14;14;189;32x32;448x448;
Turfs\Waters.dmi;16;16;193;32x32;448x448;
Turfs\Whirlpool.dmi;1;1;4;32x32;64x64;
Turfs\White.dmi;1;1;1;32x32;32x32;
Turfs\woodfloor1.dmi;1;1;1;32x32;32x32;
Weapons\Axe.dmi;5;11;31;32x32;192x192;
Weapons\Blade_Spear.dmi;5;11;34;32x32;192x192;
Weapons\Chainsaw.dmi;1;1;1;32x32;32x32;
Weapons\Club.dmi;7;16;37;32x32;224x192;
Weapons\Falseneoblade.dmi;11;29;122;32x32;384x352;
Weapons\gblaster.dmi;4;4;5;32x32;96x64;
Weapons\Generic Knight Sword.dmi;8;17;32;32x32;192x192;
Weapons\GunAccessories.dmi;6;9;13;32x32;128x128;
Weapons\GUNS (2).dmi;37;37;37;32x32;224x192;
Weapons\GUNS.dmi;7;7;7;32x32;96x96;
Weapons\Hammer.dmi;2;8;20;32x32;160x128;
Weapons\HerosSword.dmi;9;27;90;32x32;320x288;
Weapons\Item Cross.dmi;3;3;3;32x32;64x64;
Weapons\ItemBusterSword.dmi;2;5;20;32x32;160x128;
Weapons\ItemDualBlazeSword.dmi;5;14;93;32x32;320x320;
Weapons\ItemDualElectricSword.dmi;5;14;93;32x32;320x320;
Weapons\ItemGreatSword.dmi;8;20;38;32x32;224x192;
Weapons\ItemKatana.dmi;12;24;39;32x32;224x192;
Weapons\ItemKatana2.dmi;8;20;38;32x32;224x192;
Weapons\ItemSword1.dmi;6;18;47;32x32;224x224;
Weapons\Key.dmi;1;1;1;32x32;32x32;
Weapons\KingdomKey.dmi;10;22;37;32x32;224x192;
Weapons\KiShield.dmi;3;9;33;32x32;192x192;
Weapons\KiSword.dmi;7;19;55;32x32;256x224;
Weapons\KiSwordBig.dmi;7;19;55;32x32;256x224;
Weapons\Roshi Stick.dmi;7;16;37;32x32;224x192;
Weapons\ShortSword.dmi;2;8;20;32x32;160x128;
Weapons\Shuriken.dmi;2;2;4;32x32;64x64;
Weapons\spear.dmi;9;21;24;32x32;160x160;
Weapons\Sword1.dmi;4;13;17;32x32;160x128;
Weapons\Sword2.dmi;4;13;13;32x32;128x128;
Weapons\Sword2Katanas.dmi;10;22;37;32x32;224x192;
Weapons\SwordFlameComplete.dmi;8;20;72;32x32;288x256;
Weapons\SwordSamurai.dmi;9;21;36;32x32;192x192;
Weapons\Sword_Trunks.dmi;7;22;58;32x32;256x256;
Weapons\Weapons (2).dmi;10;10;11;32x32;128x96;
Weapons\Weapons.dmi;46;46;48;32x32;224x224;
Weapons\Windmill Shuriken.dmi;1;1;4;32x32;64x64;
Weapons\Yamato.dmi;9;21;36;32x32;192x192;
Weapons\YinYang.dmi;9;21;42;32x32;224x192;
Weather\Haze.dmi;3;3;14;32x32;128x128;
Weather\IndoorsWeather.dmi;6;6;23;32x32;160x160;
Weather\Weather.dmi;21;21;135;32x32;384x384;
Character Icons\Aliens\Alien 1.dmi;7;19;34;32x32;192x192;
Character Icons\Aliens\Alien 10.dmi;10;22;43;32x32;224x224;
Character Icons\Aliens\Alien 11.dmi;10;28;80;32x32;288x288;
Character Icons\Aliens\Alien 2.dmi;8;20;132;32x32;384x352;
Character Icons\Aliens\Alien 3.dmi;7;19;38;32x32;224x192;
Character Icons\Aliens\Alien 4.dmi;9;21;42;32x32;224x192;
Character Icons\Aliens\Alien 5.dmi;9;21;42;32x32;224x192;
Character Icons\Aliens\Alien 6.dmi;9;21;42;32x32;224x192;
Character Icons\Aliens\Alien 8.dmi;8;20;41;32x32;224x192;
Character Icons\Aliens\Alien 9.dmi;9;21;42;32x32;224x192;
Character Icons\Aliens\Alien Hive.dmi;10;28;49;32x32;224x224;
Character Icons\Aliens\Alien Skully.dmi;8;20;49;32x32;224x224;
Character Icons\Aliens\Alien Tattoo.dmi;8;20;41;32x32;224x192;
Character Icons\Aliens\Alien, Bass.dmi;9;24;55;32x32;256x224;
Character Icons\Aliens\Alien, Beetle.dmi;11;23;44;32x32;224x224;
Character Icons\Aliens\Alien, Burter.dmi;8;20;41;32x32;224x192;
Character Icons\Aliens\Alien, Guldo.dmi;8;20;41;32x32;224x192;
Character Icons\Aliens\Alien, Pikkon.dmi;9;24;49;32x32;224x224;
Character Icons\Aliens\Alien7.dmi;8;20;41;32x32;224x192;
Character Icons\Aliens\AlienFrog.dmi;10;31;91;32x32;320x320;
Character Icons\Aliens\AlienHive.dmi;10;28;49;32x32;224x224;
Character Icons\Aliens\AlienKanassa.dmi;8;20;36;32x32;192x192;
Character Icons\Aliens\AlienSiber v1.5.dmi;12;27;60;32x32;256x256;
Character Icons\Aliens\Baseniojin.dmi;8;23;62;32x32;1984x32;
Character Icons\Aliens\Bio Experiment.dmi;11;29;109;32x32;352x320;
Character Icons\Aliens\Blob.dmi;9;27;79;32x32;288x288;
Character Icons\Aliens\BuffFrog.dmi;10;28;49;32x32;224x224;
Character Icons\Aliens\CavemanAlien.dmi;8;20;37;32x32;224x192;
Character Icons\Aliens\Chocobo.dmi;5;20;56;32x32;1792x32;
Character Icons\Aliens\CourageDog.dmi;22;70;146;32x32;416x384;
Character Icons\Aliens\Goron.dmi;9;24;117;32x32;352x352;
Character Icons\Aliens\Hatchiyack.dmi;8;20;36;32x32;192x192;
Character Icons\Aliens\Konatsu.dmi;8;23;62;32x32;256x256;
Character Icons\Aliens\Kratos.dmi;10;31;75;32x32;288x288;
Character Icons\Aliens\Race Ginyu.dmi;9;21;42;32x32;224x192;
Character Icons\Aliens\Race Kui.dmi;9;21;42;32x32;224x192;
Character Icons\Aliens\Zora.dmi;10;25;58;32x32;256x256;
Character Icons\Androids\Android - Form 2.dmi;15;36;254;32x32;512x512;
Character Icons\Androids\Android - Form 3.dmi;15;39;178;32x32;448x416;
Character Icons\Androids\Android - Form 4.dmi;15;39;132;32x32;384x352;
Character Icons\Androids\Android 13 .2.dmi;9;21;51;32x32;256x224;
Character Icons\Androids\Android Normal.dmi;8;20;52;32x32;256x224;
Character Icons\Androids\Android.dmi;8;20;41;32x32;224x192;
Character Icons\Androids\Android13.dmi;7;19;34;32x32;192x192;
Character Icons\Androids\AndroidBlackout.dmi;13;38;75;32x32;288x288;
Character Icons\Androids\AndroidProxy.dmi;13;31;151;32x32;416x384;
Character Icons\Androids\AndroidSkeletor.dmi;9;28;57;32x32;256x256;
Character Icons\Androids\AndroidSpider.dmi;10;22;111;32x32;352x352;
Character Icons\Androids\BaseAndroid1.dmi;8;23;72;32x32;288x256;
Character Icons\Androids\BaseAndroid2.dmi;8;20;41;32x32;224x192;
Character Icons\Androids\Bebi 1 Alt.dmi;13;34;133;32x32;384x384;
Character Icons\Androids\Bio Experiment.dmi;11;29;109;32x32;352x320;
Character Icons\Androids\Delta X.dmi;11;29;62;32x32;256x256;
Character Icons\Bioandroids\BaseAndroid1.dmi;8;23;72;32x32;288x256;
Character Icons\Bioandroids\BaseAndroid2.dmi;8;20;41;32x32;224x192;
Character Icons\Bioandroids\Bio Android - Form 5.dmi;14;35;138;32x32;384x384;
Character Icons\Bioandroids\Bio Android 1.dmi;8;23;73;32x32;288x288;
Character Icons\Bioandroids\Bio Android 2.dmi;8;23;62;32x32;256x256;
Character Icons\Bioandroids\Bio Android 3.dmi;8;23;73;32x32;288x288;
Character Icons\Bioandroids\Bio Android 4.dmi;8;23;62;32x32;256x256;
Character Icons\Bioandroids\Bio Android 6.dmi;8;23;62;32x32;256x256;
Character Icons\Bioandroids\BioAndroid1(Spore).dmi;8;23;73;32x32;288x288;
Character Icons\Bioandroids\BioExperiment.dmi;11;29;109;32x32;352x320;
Character Icons\Bioandroids\bioto2.dmi;1;4;16;32x32;128x128;
Character Icons\Bioandroids\bioto3.dmi;1;4;16;32x32;128x128;
Character Icons\Bioandroids\Cell Jr.dmi;6;24;96;32x32;320x320;
Character Icons\Bioandroids\Female Bioandroid.dmi;8;20;41;32x32;224x192;
Character Icons\Bioandroids\Female BioandroidDorado.dmi;8;20;41;32x32;224x192;
Character Icons\Bioandroids\Female Bioandroidform2.dmi;8;20;41;32x32;224x192;
Character Icons\Bioandroids\Frieza-Cell.dmi;9;24;74;32x32;288x288;
Character Icons\Demons\Base_Skully.dmi;8;20;49;32x32;224x224;
Character Icons\Demons\Dante DT(DMC3).dmi;8;20;39;32x32;224x192;
Character Icons\Demons\Deaths Form.dmi;8;26;41;32x32;224x192;
Character Icons\Demons\Deaths Form2.dmi;8;23;41;32x32;224x192;
Character Icons\Demons\Demon - Form 1.dmi;14;35;205;32x32;480x448;
Character Icons\Demons\Demon - Form 4.dmi;12;30;104;32x32;352x320;
Character Icons\Demons\Demon Leader 1.dmi;9;24;69;32x32;288x256;
Character Icons\Demons\Demon, Elemental.dmi;9;24;69;32x32;288x256;
Character Icons\Demons\Demon, Uber Vampire.dmi;9;24;79;32x32;288x288;
Character Icons\Demons\Demon, Wolf.dmi;8;20;40;32x32;224x192;
Character Icons\Demons\Demon1.dmi;8;23;62;32x32;256x256;
Character Icons\Demons\Demon2.dmi;8;23;65;32x32;288x256;
Character Icons\Demons\Demon3.dmi;11;32;168;32x32;416x416;
Character Icons\Demons\Demon4.dmi;9;24;66;32x32;288x256;
Character Icons\Demons\Demon5.dmi;10;28;47;32x32;224x224;
Character Icons\Demons\Demon6.dmi;9;24;85;32x32;320x288;
Character Icons\Demons\Demon6Female.dmi;9;24;85;32x32;320x288;
Character Icons\Demons\Demon7.dmi;9;24;48;32x32;224x224;
Character Icons\Demons\DemonDeath.dmi;8;20;45;32x32;224x224;
Character Icons\Demons\DemonElemental.dmi;9;24;69;32x32;288x256;
Character Icons\Demons\DemonForm1.dmi;13;34;82;32x32;320x288;
Character Icons\Demons\DemonForm3_black.dmi;14;35;228;32x32;512x480;
Character Icons\Demons\DemonForm4.dmi;11;32;107;32x32;352x320;
Character Icons\Demons\DemonForm4black.dmi;14;44;98;32x32;320x320;
Character Icons\Demons\DemonIfrit.dmi;10;25;89;32x32;320x288;
Character Icons\Demons\DemonJanemba.dmi;9;24;60;32x32;256x256;
Character Icons\Demons\DemonUberVampire.dmi;9;24;79;32x32;288x288;
Character Icons\Demons\DemonVampireMajinByTobiUchiha.dmi;2;2;32;32x32;192x192;
Character Icons\Demons\HollowKing.dmi;10;25;77;32x32;288x288;
Character Icons\Demons\Satan.dmi;15;30;70;32x32;288x256;
Character Icons\Demons\Vampire Lord.dmi;10;28;62;32x32;256x256;
Character Icons\Demons\Vergil DT.dmi;8;20;39;32x32;224x192;
Character Icons\Dragons\1 Dragon.dmi;8;26;118;32x32;352x352;
Character Icons\Dragons\2 Dragon.dmi;7;22;101;32x32;352x320;
Character Icons\Dragons\3 Dragon.dmi;7;16;35;32x32;192x192;
Character Icons\Dragons\4 Dragon.dmi;7;16;35;32x32;192x192;
Character Icons\Dragons\5 Dragon.dmi;7;19;67;32x32;288x256;
Character Icons\Dragons\6 Dragon.dmi;7;22;101;32x32;352x320;
Character Icons\Dragons\7 Dragon.dmi;7;22;101;32x32;352x320;
Character Icons\Dragons\DragonForm2.dmi;14;38;100;32x32;320x320;
Character Icons\Frost Demons\BaseCooler.dmi;8;20;42;32x32;224x192;
Character Icons\Frost Demons\Changeling 1 Large.dmi;7;19;62;32x32;256x256;
Character Icons\Frost Demons\Changeling 5 Frieza.dmi;7;19;34;32x32;192x192;
Character Icons\Frost Demons\Changeling 5 Kold.dmi;7;19;34;32x32;192x192;
Character Icons\Frost Demons\Changeling Form 3.dmi;8;23;66;32x32;288x256;
Character Icons\Frost Demons\Changeling Form 4 Orange.dmi;8;23;67;32x32;288x256;
Character Icons\Frost Demons\Changeling Form 4.dmi;8;23;67;32x32;288x256;
Character Icons\Frost Demons\Changeling Frieza 100% 2.dmi;8;23;71;32x32;288x256;
Character Icons\Frost Demons\Changeling Frieza 100% 3.dmi;8;26;69;32x32;288x256;
Character Icons\Frost Demons\Changeling Frieza 100%.dmi;8;20;46;32x32;224x224;
Character Icons\Frost Demons\Changeling Frieza 2.dmi;8;23;63;32x32;256x256;
Character Icons\Frost Demons\Changeling Frieza Form 2, 2.dmi;8;23;66;32x32;288x256;
Character Icons\Frost Demons\Changeling Frieza Form 2.dmi;7;19;70;32x32;288x256;
Character Icons\Frost Demons\Changeling Frieza Form 3, 2.dmi;8;23;66;32x32;288x256;
Character Icons\Frost Demons\Changeling Frieza Form 3.dmi;7;19;62;32x32;256x256;
Character Icons\Frost Demons\Changeling Frieza Form 4, 2.dmi;8;23;67;32x32;288x256;
Character Icons\Frost Demons\Changeling Frieza Form 4, 3.dmi;7;19;38;32x32;224x192;
Character Icons\Frost Demons\Changeling Frieza Form 4.dmi;8;20;41;32x32;224x192;
Character Icons\Frost Demons\Changeling Frieza.dmi;8;20;41;32x32;224x192;
Character Icons\Frost Demons\Changeling Full Power.dmi;8;23;71;32x32;288x256;
Character Icons\Frost Demons\Changeling Kold 2.dmi;8;23;63;32x32;256x256;
Character Icons\Frost Demons\Changeling Kold Form 2.dmi;7;19;62;32x32;256x256;
Character Icons\Frost Demons\Changeling Kold.dmi;8;20;41;32x32;224x192;
